key|message|comments*
*Comments are ignored by the plugin
folder-rename|Pre-0.5 Daten-Ordner ("Trouble In Terrorist Town") erkannt. Dadurch wird automatisch umbenannt werden "TTT". Allerdings wird es brauchen, um manuell geändert werden, wenn Sie zurück zu wechseln zurück zu einem pre-0.5-Version wünschen.
folder-rename-error|Fehler beim Umbenennen der Daten-Ordner. Möglicherweise müssen Sie dies manuell tun.
already-entered|Sie sind bereits in dieser Runde!
round-full|Die angegebene Runde ist voll!
config-copy-fail|Fehler alten Config kopieren!
write-fail|Es ist erfolglos, % schreiben!
creating-file|% nicht gefunden, die Schaffung...
waiting-sign|WARTEN
preparing|VORBEREITUNG
ingame|INGAME
resetting|RESETTING
locale-fail|konnte nicht erhalten Nachricht von aktuellen Locale!
invalid-sign|Ungültige Lobby Zeichen! Typ / ttt Hilfe Lobby für Hilfe.
Lobby-unregister|Lobby Zeichen unregistrierte
lobby-create|Lobby Zeichen erstellt
lobby-unregister-fail| Fehler Lobby Zeichen aufheben
lobby-create-fail|Fehler Lobby Zeichen auf der Festplatte speichern
lobby-help|Anmelden Lobby Format
first|Erster
second| Zweite
third| Dritte
fourth|Vierte
line|Linie
type|Anmelden Typ
round|Runde Name
number|Anmelden Anzahl (nur für "players"-Zeichen)
prerelease|Wir haben festgestellt, dass auf Ihrem Computer eine Vorabversion Build von TTT. Wenn es eine neuere Version verfügbar ist, empfehlen wir, dass die Aktualisierung auf. Wenn nicht, bitte melden Sie Bugs finden Sie in diesem Build, um das Plugin Autor.
createarena-help|Erstellt eine Arena mit dem angegebenen Namen. Drei Koordinaten und gegebenenfalls eine Welt bereitgestellt werden. Wenn keine zusätzlichen Argumente angegeben werden, wird Standort des Absenders verwendet werden.
addspawn-help|Fügt eine Ausgeburt an die angegebene Arena. Drei Koordinaten und gegebenenfalls eine Welt bereitgestellt werden. Wenn keine zusätzlichen Argumente angegeben werden, wird Standort des Absenders verwendet werden.
removespawn-help|Entfernt einen Spawn aus dem angegebenen Bereich. Drei Koordinaten und gegebenenfalls eine Welt bereitgestellt werden. Wenn keine zusätzlichen Argumente angegeben werden, wird Standort des Absenders verwendet werden. Ein einzelner Index kann auch verwendet werden.
same-world|Sie müssen in der gleichen Welt wie die Arena zu sein!
exception|Ein interner Fehler hat während der Durchführung dieser Befehl aufgetreten.
mglib-required|Diese Version von TTT erforderlich MGLIB Version 0.3.0 oder höher. Man kann es herunderladen von http://dev.bukkit.org/bukkit-plugins/mglib. Beachten Sie, dass TTT ohne es wird nicht funkzuneiren!
