key|message|comments*
*Comments are ignored by the plugin
commands|Tilgængelige kommandoer for dig:
import-help|Importerer en verden fra en given mappe ind i pluginnet
join-help|Træder dig ind i et givent spil
quit-help|Fjerner du fra dit aktuelle spil
spawn-help|Indstiller spawn point efter runde exit til din nuværende placering
help-help|Viser denne hjælpemenu
karma-permaban|du er blevet permanent bannet fra at bruge TTT på denne server fordi dit karma er faldet under %
karma-ban|du er blevet bannet fra at bruge TTT på denne server i & fordi dit karma er faldet under %
karma-kick|du er automatisk blevet fjernet fra runden fordi dit karma er faldet under %
ban-fail|fejlet at registerer Spiller ban for %
folder-rename|Pre-0.5 data Mappe ("Trouble In Terrorist Town") fundet. Denne vil automatisk blive omdøbt til "TTT". Men den skal ændres manuelt tilbage hvis du ønsker at skifte tilbage til en pre-0,5 version.
folder-rename-error|Der opstod en fejl under omdøbning af data mappen. Du skal gøre det manuelt.
already-entered|Du er allerede i denne runde!
round-full|Den angivne runde er fuld!
config-copy-fail|fejlet i at kopiere den gamle config!
write-fail|Der kunne ikke skrives til %!
creating-file|% ikke fundet; opretter...
waiting-sign|Venter
preparing|Klargøre
ingame|i spil
resetting|nulstiller
locale-fail|Kunne ikke få besked fra aktuelle oversættelse! - kontakt jon674 på http://youtube.com/TheJon674
invalid-sign|Ugyldig lobby skilt! Skriv /ttt help lobby for at få hjælp.
lobby-unregister|Lobby skilt uregistrerede
lobby-create|Lobby skilt lavet
lobby-unregister-fail|fejlet at afmelde lobby skilt
lobby-create-fail|Kunne ikke gemme lobby skilt til disk
lobby-help|Lobby skilt Format
first|Første
second|Anden
third|Tredje
fourth|Fjerde
line|Linje
type|Skilt Type
round|Runde Navn
number|Skilt Nummer (kun for "players" skilte)
prerelease|Vi har registreret, at du kører en gammel version af TTT. Hvis der er en nyere udgave til rådighed, anbefaler vi stærkt at opdatere til den. Hvis ikke, bedes du rapportere alle fejl du finder i denne version til personen der har lavet pluginnet.

Alt under denne linje er blevet oversat kun af Google Translate. Du er velkommen til at rette det, hvis det er unøjagtige. :)

createarena-help|Opretter en arena med det angivne navn. Tre koordinater og eventuelt en verden kan tilvejebringes. Hvis ingen ekstra argumenter er forudsat, vil afsenderens placering anvendes. 
addspawn-help|Tilføjer en gyde til den angivne arena. Tre koordinater og eventuelt en verden kan tilvejebringes. Hvis ingen ekstra argumenter er forudsat, vil afsenderens placering anvendes. 
removespawn-help|Fjerner en gyde fra den angivne arena. Tre koordinater og eventuelt en verden kan tilvejebringes. Hvis ingen ekstra argumenter er forudsat, vil afsenderens placering anvendes. En enkelt indeks kan også anvendes. 
same-world|Du skal være i den samme verden som arena!
